Experiences Offered;Review Scores Communication;Review Scores Location;Review Scores Value;Review Scores Rating;Review Scores Accuracy;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Host Neighbourhood;Host Total Listings Count;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews
none;10.0;10.0;10.0;100.0;10.0;None;strict;1.0;0.09;No data;1.0;40.43260695747129;-3.7120367582159286;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;25.0;0.0;0.0;1;0;14;2
none;10.0;10.0;4.0;60.0;4.0;None;strict;1.0;0.05;Ibiza;1.0;40.41957986095272;-3.675150124755117;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;50.0;200.0;25.0;1;0;1;1
none;10.0;10.0;10.0;100.0;10.0;None;flexible;1.0;0.39;Cortes;1.0;40.41340300259123;-3.696381014422327;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;70.0;0.0;0.0;2;0;2;3
none;9.0;10.0;9.0;93.0;9.0;None;moderate;2.0;2.5;Malasaña;2.0;40.4263612609055;-3.702806236632753;Apartment;Private room;1.5;1.0;1.0;Real Bed;394.07081545064375;40.0;150.0;0.0;2;20;2;71
none;10.0;10.0;8.0;100.0;10.0;None;strict;39.0;0.15;La Latina;68.0;40.430615285344246;-3.714464609982078;Apartment;Entire home/apt;3.0;3.0;5.0;Real Bed;394.07081545064375;260.0;0.0;300.0;1;0;30;1
none;10.0;9.0;9.0;83.0;9.0;None;moderate;6.0;0.43;Imperial;7.0;40.41338654435695;-3.719483050337117;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;60.0;100.0;30.0;2;10;1;8
none;9.0;9.0;8.0;91.0;9.0;None;flexible;1.0;0.27;No data;1.0;40.4267939207801;-3.699795857927988;Loft;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;90.0;0.0;30.0;2;35;2;9
none;10.0;10.0;9.0;92.0;9.0;None;flexible;1.0;2.75;Sol;1.0;40.418939432639796;-3.7006739203802836;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;65.0;100.0;20.0;1;20;1;39
none;0.0;0.0;0.0;0.0;0.0;None;moderate;1.0;0.0;Malasaña;10.0;40.42651938556393;-3.7074542175225953;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;105.0;150.0;0.0;1;0;3;0
none;10.0;10.0;10.0;100.0;10.0;None;moderate;1.0;0.07;Justicia;1.0;40.42110317405381;-3.698641508513608;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;150.0;0.0;25.0;3;30;2;1
none;10.0;9.0;10.0;100.0;10.0;None;flexible;1.0;1.25;No data;1.0;40.43782560778127;-3.642824349457353;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;25.0;0.0;0.0;1;10;1;2
none;9.0;9.0;8.0;78.0;9.0;Paris;flexible;1.0;0.64;Batignolles;1.0;48.887076599940045;2.3226556388050024;Apartment;Entire home/apt;1.0;0.0;1.0;Couch;394.07081545064375;34.0;200.0;7.0;1;5;2;9
none;10.0;10.0;9.0;90.0;10.0;None;strict;9.0;2.79;Carabanchel;9.0;40.41681799350454;-3.7042840598411537;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;150.0;0.0;0.0;1;0;1;4
none;9.0;9.0;9.0;88.0;10.0;None;flexible;1.0;0.6;Delicias;1.0;40.39900299609946;-3.6950535833559437;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;19.0;0.0;0.0;1;30;1;23
none;10.0;10.0;10.0;97.0;9.0;None;flexible;2.0;0.15;Prosperidad;2.0;40.44900527765583;-3.6645253697837408;House;Private room;1.0;1.0;2.0;Real Bed;394.07081545064375;40.0;0.0;0.0;1;20;2;7
none;10.0;10.0;10.0;100.0;10.0;None;flexible;1.0;1.22;Moratalaz;1.0;40.40382960067132;-3.638097900436279;House;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;17.0;0.0;0.0;1;0;2;4
none;10.0;10.0;9.0;93.0;9.0;None;flexible;2.0;0.18;No data;3.0;40.42437899407295;-3.7106232788547615;Dorm;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;50.0;0.0;0.0;1;0;1;3
none;10.0;8.0;10.0;100.0;10.0;None;strict;2.0;3.45;No data;2.0;40.42529926735082;-3.641896281836492;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;18.0;0.0;0.0;1;12;1;10
none;9.0;9.0;8.0;79.0;8.0;None;moderate;11.0;1.32;Trafalgar;15.0;40.43429880762962;-3.7022836323785766;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;394.07081545064375;49.0;0.0;30.0;1;0;3;41
none;10.0;10.0;10.0;100.0;9.0;None;strict;1.0;0.21;No data;1.0;40.42587438551113;-3.708484057242695;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;68.0;350.0;30.0;1;0;2;4
none;0.0;0.0;0.0;0.0;0.0;None;moderate;4.0;0.0;Cortes;4.0;40.41209520543583;-3.6972917963119314;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;130.0;0.0;0.0;1;0;5;0
none;8.0;8.0;6.0;60.0;8.0;None;flexible;6.0;0.32;No data;6.0;40.390061731968714;-3.6711042031571415;House;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;45.0;0.0;0.0;1;12;1;1
none;10.0;10.0;10.0;100.0;10.0;None;flexible;1.0;0.73;No data;1.0;40.41055188460411;-3.719656094328847;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;43.0;0.0;0.0;1;0;2;1
none;0.0;0.0;0.0;0.0;0.0;None;flexible;4.0;0.0;La Latina;4.0;40.4132624115315;-3.70605874494737;Apartment;Private room;1.5;1.0;1.0;Real Bed;394.07081545064375;25.0;0.0;20.0;1;0;20;0
none;10.0;9.0;10.0;97.0;9.0;WASHINGTON;moderate;1.0;1.25;Magnolia;1.0;47.652215789478646;-122.38548096041151;House;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;64.0;0.0;0.0;1;15;2;57
none;10.0;9.0;9.0;95.0;10.0;None;flexible;2.0;1.25;Puente de Vallecas;2.0;40.39983373012325;-3.664705103814163;Bed & Breakfast;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;35.0;0.0;0.0;1;0;1;22
none;10.0;10.0;10.0;100.0;10.0;None;moderate;1.0;1.51;Gaztambide;1.0;40.43345330039478;-3.716428376609511;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;43.0;0.0;5.0;1;6;1;29
none;10.0;9.0;10.0;100.0;8.0;None;moderate;1.0;2.31;Malasaña;1.0;40.42595006878626;-3.705991854353768;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;35.0;100.0;20.0;1;0;1;3
none;9.0;8.0;9.0;86.0;9.0;None;strict;2.0;5.04;No data;2.0;40.396664483842656;-3.6696226238333263;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;22.0;0.0;0.0;1;0;2;39
none;10.0;10.0;10.0;91.0;10.0;None;strict;1.0;1.54;La Latina;1.0;40.409904513703395;-3.7048633260312163;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;54.0;100.0;25.0;2;10;2;9
none;10.0;9.0;9.0;90.0;10.0;None;moderate;3.0;0.38;Palacio;3.0;40.401209507693295;-3.641835909708208;House;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;25.0;150.0;20.0;1;0;14;2
none;10.0;10.0;10.0;100.0;10.0;None;strict;1.0;2.0;No data;1.0;40.42118692776474;-3.703807970056383;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;27.0;0.0;0.0;1;20;2;2
none;9.0;9.0;9.0;85.0;9.0;None;strict;5.0;3.24;No data;5.0;40.43606270188129;-3.693887093565908;Apartment;Private room;0.0;1.0;1.0;Real Bed;394.07081545064375;25.0;0.0;10.0;3;10;1;74
none;10.0;10.0;10.0;97.0;10.0;None;moderate;2.0;2.5;Malasaña;2.0;40.42370950803689;-3.706941988446976;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;27.0;0.0;15.0;1;0;2;18
